EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra
1355,2026-02-06,21:33:25,45 - 54 años,Masculino,Guatemala,Santa Catarina Pinula,Otro,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Menos de Q25,CrunchMax BBQ; Mundialitos Queso Picante; Gol Nachos Supreme,Queso,Familiar,Q10 - Q15,Sí,Sí,Francia,Probablemente sí,Noruega,Cristiano Ronaldo; Harry Kane,Un jugador famoso,Sorteo de balones,Sí,Edición Argentina
1356,2026-02-26,14:12:19,25 - 34 años,Masculino,Guatemala,Santa Catarina Pinula,Otro,Varias veces al mes,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Hot Stadium Peanuts; Gol Nachos Supreme; Fan Chips Jalapeño,Picante Chapín,Individual,Q21 - Q30,Sí,Sí,Portugal,Tal vez,Estados Unidos,Federico Valverde,Un jugador famoso,2x1,No,Edición España
1357,2026-01-10,21:15:46,35 - 44 años,Masculino,Guatemala,Santa Catarina Pinula,Otro,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50,Energy Crunch Protein; Mundialitos Queso Picante; FutbolMix,Caramelo,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Argentina,Probablemente sí,Brasil,Vinícius Júnior; Kylian Mbappé; Cristiano Ronaldo,Un jugador famoso,Tarjetas coleccionables,Sí,Edición con jugadores famosos
1358,2026-02-02,09:47:11,45 - 54 años,Femenino, GUATEMALA ,Mixco,Estudiante,Todos los días,Otro,Amigos,Más de Q150,Energy Crunch Protein; CrunchMax BBQ; Gol Nachos Supreme,Picante Chapín,Tamaño fiesta o reunión,Q21 - Q30,No,Sí,Argentina,Definitivamente sí,Inglaterra,Ninguno; Lionel Messi; Cristiano Ronaldo,Premios y sorteos,2x1,No,Edición Mundial FIFA 2026
1359,2026-02-12,20:54:18,45 - 54 años,Femenino,Guatemala,Villa Nueva,Profesional independiente,1 a 2 veces por semana,Aplicación de delivery,Familia,Menos de Q25,Gol Nachos Supreme; Hot Stadium Peanuts,Limón,Familiar,Q16 - Q20,Sí,Sí, BRASIL ,Definitivamente sí,Alemania,Vinícius Júnior,Un jugador famoso,Producto gratis,Sí,Edición con tarjetas coleccionables
1360,2026-05-09,11:36:03,35 - 44 años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante,Varias veces al mes,Kiosco escolar/universitario,Familia,Q25 - Q50,Fan Chips Jalapeño; ChocoKick Bites; Caramel Goal Popcorn,Chocolate,Para compartir entre 2 personas,Menos de Q10,Sí,Sí,México,Definitivamente sí,Alemania,Lionel Messi; Julián Álvarez; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,Sí,Edición con jugadores famosos
1361,2026-03-10,11:20:44,25 - 34 años,Femenino,Escuintla,Escuintla,Empleado privado,3 a 5 veces por semana,Tienda de barrio,Familia,Q25 - Q50,Caramel Goal Popcorn,Picante Chapín,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Alemania,Probablemente sí,Senegal,Julián Álvarez; Ninguno,Un jugador famoso,Descuento directo,Sí,Edición Francia
1362,2026-05-04,15:13:25,18 - 24 años,Femenino,Jalapa,Cabecera municipal,Empleado privado,Rara vez,Supermercado,Familia,Q25 - Q50,FutbolMix; Caramel Goal Popcorn,Limón,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Portugal,Tal vez,Alemania,Lamine Yamal; Julián Álvarez,Un jugador famoso,2x1,Sí,Edición España
1363,2026-02-20,22:51:53,18 - 24 años,Masculino,Guatemala,Santa Catarina Pinula,Empleado público,3 a 5 veces por semana,Supermercado,Familia,Menos de Q25,Victory Pretzels,Picante Chapín,Tamaño fiesta o reunión,Q10 - Q15,Sí,Sí,España,Probablemente no,Argentina,Lionel Messi; Federico Valverde; Harry Kane,Premios y sorteos,Sorteo de balones,Sí,Edición Francia
1364,2026-02-24,21:49:47,18 - 24 años,Masculino,Quetzaltenango,Olintepeque,Ama de casa,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Q25 - Q50,CrunchMax BBQ; Fan Chips Jalapeño; FutbolMix,Caramelo,Familiar,Q10 - Q15,Sí,Sí,Argentina,Tal vez,España,Cristiano Ronaldo; Christian Pulisic; Jude Bellingham,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina
1365,2026-04-17,09:59:36,35 - 44 años,Femenino,Guatemala,Villa Nueva,Empleado privado,1 a 2 veces por semana,Supermercado,Solo,Q51 - Q100,Victory Pretzels,Barbacoa,Familiar,Q21 - Q30,Sí,Sí,Inglaterra,Probablemente sí,Colombia,Harry Kane; Lionel Messi; Cristiano Ronaldo,Premios y sorteos,2x1,Sí,Edición con jugadores famosos
1366,2026-01-17,07:30:23,25 - 34 años,Femenino,Guatemala,San Miguel Petapa,Empleado público,Varias veces al mes,Otro,Familia,Q51 - Q100,Caramel Goal Popcorn,Queso,Familiar,Q16 - Q20,Sí,Sí,Alemania,Definitivamente sí,Argentina,Christian Pulisic; Vinícius Júnior; Neymar Jr.,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil
1367,2026-04-18,15:40:12,45 - 54 años,Masculino,Escuintla, SANTA LUCÍA COTZUMALGUAPA ,Empleado público,Rara vez,Tienda de barrio,Amigos,Q101 - Q150,Gol Nachos Supreme, SALADO TRADICIONAL ,Para compartir entre 2 personas,Menos de Q10,Sí,Sí,Argentina,Definitivamente sí,España,Cristiano Ronaldo; Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición con jugadores famosos
1368,2026-02-07,18:26:10,25 - 34 años,Femenino, GUATEMALA ,Villa Nueva,Empleado privado,1 a 2 veces por semana,Tienda de barrio,Familia,Q51 - Q100,CrunchMax BBQ; Energy Crunch Protein,Dulce,Para compartir entre 2 personas,Q21 - Q30,No,Sí,Argentina,Tal vez,Portugal,Lamine Yamal; Cristiano Ronaldo,Una selección nacional,2x1,No,Edición España
1369,2026-02-21,14:14:12,25 - 34 años,Masculino,Quetzaltenango,Coatepeque,Empleado privado,Varias veces al mes,Tienda de barrio,Solo,Q101 - Q150,Energy Crunch Protein,Queso,Familiar,Q10 - Q15,Sí,Sí,Argentina,Definitivamente sí,Argentina,Jude Bellingham,Una selección nacional,Sorteo de camisetas,Sí,Edición con jugadores famosos
1370,2026-03-17,09:18:09,25 - 34 años,Masculino,Sacatepéquez,Antigua Guatemala,Otro,Varias veces al mes,Aplicación de delivery,Amigos,Q25 - Q50,Caramel Goal Popcorn; Gol Nachos Supreme,Queso,Individual,Q16 - Q20,Sí,Sí, BRASIL ,Probablemente sí,México,Neymar Jr.,Una selección nacional,Descuento directo,Sí,Edición Argentina
1371,2026-04-17,14:51:59,25 - 34 años,Masculino,Guatemala,San Miguel Petapa,Empleado privado,1 a 2 veces por semana,Gasolinera,Amigos,Q51 - Q100,Gol Nachos Supreme; Hot Stadium Peanuts,Picante Chapín,Para compartir entre 2 personas,Q10 - Q15,Sí,Sí,España,Definitivamente sí,Portugal,Lamine Yamal; Harry Kane; Lionel Messi,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina
1372,2026-04-02,07:45:53,25 - 34 años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante,1 a 2 veces por semana,Supermercado,Amigos,Más de Q150,CrunchMax BBQ; Fan Chips Jalapeño; Caramel Goal Popcorn,Chocolate,Para compartir entre 2 personas,Q10 - Q15,No,Sí,México,Probablemente sí,Argentina,Neymar Jr.; Vinícius Júnior,Un jugador famoso,2x1,No,Edición Inglaterra
1373,2026-03-30,11:09:40,25 - 34 años,Masculino,Quiché,Quiché,Comerciante,Varias veces al mes,Supermercado,Amigos,Q25 - Q50,Mundialitos Queso Picante; ChocoKick Bites; Fan Chips Jalapeño,Chocolate,Para compartir entre 2 personas,Q10 - Q15,No,No,Inglaterra,Probablemente sí,Australia,Rodri; Federico Valverde,Una selección nacional,Producto gratis,Sí,Edición Argentina
1374,2026-01-20,07:49:17,18 - 24 años,Femenino,Sacatepéquez,Sumpango,Empleado privado,1 a 2 veces por semana,Gasolinera,Familia,Q51 - Q100,Mundialitos Queso Picante; Hot Stadium Peanuts; CrunchMax BBQ,Dulce,Individual,Q16 - Q20,Sí,Sí,Curaçao,Tal vez,Argentina,Kylian Mbappé,Premios y sorteos,Tarjetas coleccionables,Sí,Edición con tarjetas coleccionables
1375,2026-02-17,20:08:07,25 - 34 años,Femenino,Guatemala, SAN MIGUEL PETAPA ,Empleado privado,Varias veces al mes,Supermercado,Familia,Más de Q150,ChocoKick Bites; Victory Pretzels; Gol Nachos Supreme,Picante Chapín,Individual,Menos de Q10,No,Sí,Brasil,Definitivamente no,Brasil,Cristiano Ronaldo; Vinícius Júnior; Christian Pulisic,Un jugador famoso,Sorteo de camisetas,Sí,Edición con jugadores famosos
1376,2026-02-01,13:01:21,25 - 34 años,Masculino,San Marcos,San Marcos,Profesional independiente,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50,Hot Stadium Peanuts; Gol Nachos Supreme; Victory Pretzels,Barbacoa,Para compartir entre 2 personas,Q10 - Q15,Sí,Sí,Uruguay,Probablemente no,Brasil,Lionel Messi,Historias de aficionados,Sorteo de balones,Sí,Edición Brasil
1377,2026-01-31,10:44:39,Menos de 18 años,Masculino,Guatemala,San Miguel Petapa,Profesional independiente,3 a 5 veces por semana,Aplicación de delivery,Solo,Q51 - Q100,Gol Nachos Supreme,Chocolate,Familiar,Menos de Q10,No,No,Inglaterra,Definitivamente sí,Curaçao,Neymar Jr.,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina
1378,2026-01-14,13:25:14,35 - 44 años,Masculino,Retalhuleu,Retalhuleu,Empleado privado,Varias veces al mes,Supermercado,Familia,Q51 - Q100,Caramel Goal Popcorn,Barbacoa,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente no,Portugal,Kylian Mbappé,Humor,2x1,Sí,Edición con tarjetas coleccionables
1379,2026-01-21,20:49:46,45 - 54 años,Femenino,Sacatepéquez,Jocotenango,Empleado privado,Todos los días,Kiosco escolar/universitario,Compañeros de trabajo,Q25 - Q50,Energy Crunch Protein; Gol Nachos Supreme,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Brasil,Definitivamente sí,Argentina,Rodri; Kylian Mbappé; Federico Valverde,Humor,Descuento directo,No,Edición con jugadores famosos
1380,2026-05-02,21:33:42,25 - 34 años,Femenino,Baja Verapaz,Baja Verapaz,Empleado público,1 a 2 veces por semana,Aplicación de delivery,Amigos,Menos de Q25,Victory Pretzels,Barbacoa,Para compartir entre 2 personas,Q10 - Q15,Sí,No,Brasil,Probablemente sí,Irán,Ninguno,Una selección nacional,2x1,No,Edición Francia
1381,2026-04-03,08:14:21,55 años o más,Prefiero no indicarlo,Escuintla,Escuintla,Empleado privado,Varias veces al mes,Supermercado,Amigos,Q101 - Q150,Gol Nachos Supreme; FutbolMix; CrunchMax BBQ,Caramelo,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Argentina,Definitivamente sí,Francia,Kylian Mbappé,Historias de aficionados,Producto gratis,No,Edición con tarjetas coleccionables
1382,2026-03-31,20:41:33,18 - 24 años,Masculino,Quetzaltenango,Quetzaltenango,Empleado privado,Todos los días,Tienda de barrio,Familia,Q25 - Q50,Fan Chips Jalapeño; Victory Pretzels; Gol Nachos Supreme,Caramelo,Familiar,Q10 - Q15,Sí,Sí,España,Probablemente sí,España,Lionel Messi; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,No,Edición con jugadores famosos
1383,2026-05-09,19:29:25,45 - 54 años,Femenino,Baja Verapaz,Otro municipio,Estudiante,Varias veces al mes,Aplicación de delivery,Familia,Q51 - Q100,Mundialitos Queso Picante,Picante Chapín,Familiar,Q16 - Q20,Sí,No,Portugal,Definitivamente no,México,Neymar Jr.,Un jugador famoso,Descuento directo,Sí,Edición Mundial FIFA 2026
1384,2026-04-23,10:27:40,25 - 34 años,Femenino, SACATEPÉQUEZ ,Ciudad Vieja,Empleado privado,3 a 5 veces por semana,Gasolinera,Familia,Q25 - Q50,CrunchMax BBQ; Caramel Goal Popcorn; Gol Nachos Supreme,Queso,Individual,Más de Q30,Sí,Sí,México,Tal vez,Canadá,Alphonso Davies,Un jugador famoso,2x1,Sí,Edición Inglaterra
1385,2026-03-15,13:16:21,35 - 44 años,Masculino,Jutiapa,Jutiapa,Empleado privado,Todos los días,Tienda de barrio,Familia,Q101 - Q150,CrunchMax BBQ,Jalapeño,Familiar,Q10 - Q15,Sí,No,México,Tal vez,Portugal,Lionel Messi; Cristiano Ronaldo,Humor,Producto gratis,Sí,Edición Inglaterra
1386,2026-05-09,07:14:16,35 - 44 años,Femenino, SOLOLÁ ,Sololá,Profesional independiente,Rara vez,Supermercado,Familia,Q51 - Q100,Gol Nachos Supreme; Fan Chips Jalapeño,Barbacoa,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Argentina,Lionel Messi; Lamine Yamal,Una selección nacional,Descuento directo,Sí,Edición Inglaterra
1387,2026-04-21,18:19:44,18 - 24 años,Femenino,Guatemala,Guatemala,Otro,Rara vez,Kiosco escolar/universitario,Familia,Q51 - Q100,Fan Chips Jalapeño,Jalapeño,Individual,Q10 - Q15,No,Sí, ESPAÑA ,Definitivamente no,Francia,Lionel Messi,Una selección nacional,Descuento directo,Sí,Edición Francia
1388,2026-05-06,11:06:00,Menos de 18 años,Femenino,Suchitepéquez,Otro municipio,Empresario,Todos los días,Supermercado,Amigos,Q51 - Q100,CrunchMax BBQ,Chocolate,Familiar,Q10 - Q15,Sí,Sí,Alemania,Tal vez,Brasil,Ninguno; Lionel Messi,Una selección nacional,Producto gratis,Sí,Edición Mundial FIFA 2026
1389,2026-01-14,09:36:03,45 - 54 años,Masculino,Guatemala,Mixco,Empleado privado,3 a 5 veces por semana,Aplicación de delivery,Familia,Q51 - Q100,ChocoKick Bites; Caramel Goal Popcorn,Chocolate,Familiar,Q21 - Q30,No,Sí,España,Probablemente sí,Brasil,Cristiano Ronaldo,Un jugador famoso,Descuento directo,Sí,Edición Argentina
1390,2026-02-08,17:38:55,35 - 44 años,Femenino,Guatemala,Villa Nueva,Estudiante,1 a 2 veces por semana,Supermercado,Solo,Q25 - Q50,Mundialitos Queso Picante; Caramel Goal Popcorn; Gol Nachos Supreme,Limón,Individual,Q21 - Q30,Sí,Sí,Argentina,Tal vez,Colombia,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,Producto gratis,Sí,Edición con jugadores famosos
1391,2026-03-23,22:34:51,45 - 54 años,Femenino,Sololá,Cabecera municipal,Empleado privado,Todos los días,Tienda de barrio,Amigos,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante,Queso,Familiar,Q16 - Q20,Sí,Sí,Uzbekistán,Tal vez,México,Lionel Messi; Cristiano Ronaldo,Una selección nacional,Producto gratis,Sí,Edición con jugadores famosos
1392,2026-01-24,16:13:26,25 - 34 años,Femenino,Guatemala,Mixco,Empleado público,3 a 5 veces por semana,Supermercado,Familia,Q25 - Q50,Energy Crunch Protein; FutbolMix,Dulce,Familiar,Q10 - Q15,No,Sí,Inglaterra,Tal vez,Brasil,Kylian Mbappé; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Mundial FIFA 2026
1393,2026-01-13,15:44:30,Menos de 18 años,Prefiero no indicarlo,Guatemala, SANTA CATARINA PINULA ,Profesional independiente,1 a 2 veces por semana,Otro,Familia,Q101 - Q150,ChocoKick Bites,Limón,Familiar,Q10 - Q15,Sí,Sí,Brasil,Tal vez,Inglaterra,Vinícius Júnior; Julián Álvarez,Un jugador famoso,Sorteo de viajes,Sí,Edición Argentina
1394,2026-05-05,20:21:46,Menos de 18 años,Masculino,Chimaltenango,Patzún,Otro,3 a 5 veces por semana,Kiosco escolar/universitario,Amigos,Q51 - Q100,Mundialitos Queso Picante; Gol Nachos Supreme; FutbolMix,Dulce,Familiar,Menos de Q10,No,Sí,Portugal,Definitivamente sí,México,Cristiano Ronaldo; Julián Álvarez,Un jugador famoso,Producto gratis,Sí,Edición con tarjetas coleccionables
1395,2026-03-25,09:27:22,18 - 24 años,Femenino,Retalhuleu,Otro municipio,Empleado privado,1 a 2 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,Caramel Goal Popcorn,Picante Chapín,Individual,Q16 - Q20,Sí,Sí,España,Tal vez,México,Julián Álvarez; Lamine Yamal,Premios y sorteos,2x1,No,Edición con jugadores famosos
1396,2026-03-20,09:09:57,45 - 54 años,Femenino,Guatemala,Santa Catarina Pinula,Empleado público,3 a 5 veces por semana,Aplicación de delivery,Familia,Más de Q150,Hot Stadium Peanuts; Fan Chips Jalapeño; Gol Nachos Supreme,Salado Tradicional,Familiar,Q21 - Q30,No,Sí,Francia,Tal vez,Brasil,Kylian Mbappé,Premios y sorteos,Sorteo de viajes,Sí,Edición España
1397,2026-03-11,19:46:13,25 - 34 años,Masculino,Suchitepéquez,Cabecera municipal,Profesional independiente,Todos los días,Aplicación de delivery,Solo,Q101 - Q150,Victory Pretzels; CrunchMax BBQ,Picante Chapín,Individual,Q10 - Q15,Sí,Sí,España,Definitivamente sí,México,Cristiano Ronaldo; Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición Brasil
1398,2026-03-25,20:01:45,18 - 24 años,Masculino,Guatemala,Guatemala,Estudiante,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50,Hot Stadium Peanuts,Queso,Individual,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Portugal,Lionel Messi,Un jugador famoso,2x1,Sí,Edición Brasil
1399,2026-02-23,07:12:33,18 - 24 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,3 a 5 veces por semana,Supermercado,Amigos,Q25 - Q50,Caramel Goal Popcorn; ChocoKick Bites,Barbacoa,Tamaño fiesta o reunión,Q21 - Q30,Sí,Sí,España,Probablemente sí,Francia,Vinícius Júnior; Cristiano Ronaldo; Neymar Jr.,Una selección nacional,Tarjetas coleccionables,No,Edición con tarjetas coleccionables
1400,2026-04-18,08:05:58,Menos de 18 años,Femenino,Quetzaltenango,Coatepeque,Comerciante,3 a 5 veces por semana,Supermercado,Familia,Q51 - Q100,CrunchMax BBQ,Barbacoa,Familiar,Q10 - Q15,Sí,Sí,Argentina,Tal vez,Uruguay,Cristiano Ronaldo,Una selección nacional,2x1,No,Edición con jugadores famosos
1401,2026-01-14,17:34:00,25 - 34 años,Masculino,Guatemala,San Miguel Petapa,Comerciante,Rara vez,Supermercado,Amigos,Q51 - Q100,Gol Nachos Supreme; Energy Crunch Protein,Picante Chapín,Familiar,Q10 - Q15,No,Sí,Estados Unidos,Probablemente sí,Estados Unidos,Alphonso Davies; Cristiano Ronaldo,Premios y sorteos,Sorteo de balones,Sí,Edición Argentina
1402,2026-01-10,13:54:21,35 - 44 años,Femenino,Guatemala,Guatemala,Ama de casa,Todos los días,Aplicación de delivery,Amigos,Q51 - Q100,Hot Stadium Peanuts; FutbolMix; Fan Chips Jalapeño,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Curaçao,Definitivamente sí,Brasil,Jude Bellingham; Ninguno; Cristiano Ronaldo,Premios y sorteos,Sorteo de camisetas,No,Edición Francia
1403,2026-05-06,14:33:00,18 - 24 años,Masculino,Guatemala,Villa Nueva,Ama de casa,Rara vez,Tienda de barrio,Solo,Menos de Q25,FutbolMix,Picante Chapín,Familiar,Q16 - Q20,No,Sí,Argentina,Probablemente sí,Estados Unidos,Alphonso Davies; Lionel Messi,Un jugador famoso,Sorteo de viajes,Sí,Edición Francia
1404,2026-01-20,16:12:43,35 - 44 años,Femenino,Chimaltenango,Tecpán Guatemala,Empleado privado,3 a 5 veces por semana,Tienda de barrio,Amigos,Menos de Q25,CrunchMax BBQ,Queso,Familiar,Q10 - Q15,Sí,Sí,Portugal,Probablemente sí,Argentina,Lionel Messi,Un jugador famoso,Descuento directo,No,Edición con tarjetas coleccionables
1405,2026-05-09,15:28:28,Menos de 18 años,Femenino,San Marcos,Otro municipio,Empleado privado,3 a 5 veces por semana,Aplicación de delivery,Familia,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante,Salado Tradicional,Para compartir entre 2 personas,Q21 - Q30,No,Sí,Francia,Probablemente sí,Portugal,Kylian Mbappé; Rodri,Premios y sorteos,Producto gratis,Sí,Edición Argentina
1406,2026-02-01,16:09:29,35 - 44 años,Masculino,Guatemala,Mixco,Estudiante,3 a 5 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,CrunchMax BBQ,Limón,Familiar,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente no,España,Cristiano Ronaldo; Lionel Messi,Una selección nacional,2x1,No,Edición Mundial FIFA 2026
1407,2026-04-19,20:47:35,35 - 44 años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante,1 a 2 veces por semana,Otro,Familia,Q25 - Q50,Gol Nachos Supreme; Victory Pretzels,Dulce,Individual,Q10 - Q15,No,Sí,Francia,Tal vez,Brasil,Cristiano Ronaldo; Neymar Jr.; Vinícius Júnior,Historias de aficionados,2x1,No,Edición con tarjetas coleccionables
1408,2026-01-20,07:00:43,35 - 44 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,1 a 2 veces por semana,,Amigos,Q25 - Q50,Victory Pretzels; Energy Crunch Protein; Gol Nachos Supreme,Jalapeño,Para compartir entre 2 personas,Más de Q30,Sí,Sí,Argentina,Probablemente sí,Argentina,Cristiano Ronaldo; Lionel Messi; Neymar Jr.,Un jugador famoso,Sorteo de viajes,Sí,Edición con tarjetas coleccionables
1409,2026-02-10,19:43:00,25 - 34 años,Femenino,Escuintla,Palín,Empleado privado,Varias veces al mes,Tienda de barrio,Amigos,Q51 - Q100,Energy Crunch Protein,Barbacoa,Familiar,Q10 - Q15,No,Sí,Marruecos,Probablemente no,Francia,Lamine Yamal,Una selección nacional,Producto gratis,Sí,Edición Mundial FIFA 2026
1410,2026-03-06,17:59:31,18 - 24 años,Masculino,Sacatepéquez,Jocotenango,Estudiante,Todos los días,Supermercado,Solo,Q51 - Q100,Gol Nachos Supreme; Energy Crunch Protein,Caramelo,Tamaño fiesta o reunión,Q16 - Q20,No,Sí,Suecia,Probablemente sí,España,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,2x1,Sí,Edición Argentina
1411,2026-01-19,11:29:24,18 - 24 años,Prefiero no indicarlo,Huehuetenango,Huehuetenango,Empleado privado,Rara vez,Tienda de barrio,Amigos,Q25 - Q50,Mundialitos Queso Picante; Gol Nachos Supreme,Jalapeño,Familiar,Q16 - Q20,Sí,Sí,Austria,Definitivamente sí,Francia,Harry Kane,Una selección nacional,Sorteo de camisetas,No,Edición Brasil
1412,2026-01-21,10:38:27,25 - 34 años,Femenino,Guatemala,Santa Catarina Pinula,Ama de casa,Todos los días,Supermercado,Amigos,Q101 - Q150,Mundialitos Queso Picante,Barbacoa,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente sí,México,Jude Bellingham; Federico Valverde,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Inglaterra
1413,2026-04-07,22:55:19,18 - 24 años,Masculino,Chimaltenango,,Comerciante,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Menos de Q25,Mundialitos Queso Picante,Picante Chapín,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,España,Probablemente sí,Brasil,Federico Valverde; Jude Bellingham,Premios y sorteos,Sorteo de viajes,No,Edición Brasil
1414,2026-03-19,12:34:45,35 - 44 años,Masculino,Guatemala,Santa Catarina Pinula,Empleado privado,Varias veces al mes,Gasolinera,Compañeros de trabajo,Q51 - Q100,Fan Chips Jalapeño; FutbolMix,Queso,Individual,Q10 - Q15,Sí,Sí,México,Tal vez,Colombia,Alphonso Davies; Kylian Mbappé,Historias de aficionados,Sorteo de balones,No,Edición Inglaterra
1415,2026-03-05,12:09:15,55 años o más,Masculino,Guatemala,Guatemala,Estudiante,3 a 5 veces por semana,Supermercado,Familia,Menos de Q25,CrunchMax BBQ; Mundialitos Queso Picante; Caramel Goal Popcorn,,Individual,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Brasil,Alphonso Davies; Neymar Jr.; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,Sí,Edición Mundial FIFA 2026
1416,2026-04-28,12:47:56,45 - 54 años,Masculino,Huehuetenango,Otro municipio,Empleado privado,3 a 5 veces por semana,Supermercado,Compañeros de trabajo,Q25 - Q50,FutbolMix; Mundialitos Queso Picante; Victory Pretzels,Dulce,Tamaño fiesta o reunión,Q21 - Q30,Sí,Sí,México,Definitivamente sí,Argentina,Federico Valverde,Un jugador famoso,Producto gratis,No,Edición con tarjetas coleccionables
1417,2026-03-30,09:06:09,25 - 34 años,Femenino,Guatemala,Santa Catarina Pinula,Profesional independiente,1 a 2 veces por semana,Supermercado,Amigos,Q51 - Q100,FutbolMix; Mundialitos Queso Picante,Dulce,Familiar,Q16 - Q20,No,Sí,Argentina,Probablemente sí,Alemania,Kylian Mbappé,Un jugador famoso,Descuento directo,Sí,Edición Brasil
1418,2026-04-09,12:02:49,25 - 34 años,Femenino,Guatemala,Mixco,Empleado privado,Todos los días,Supermercado,Familia,Q51 - Q100,Caramel Goal Popcorn; ChocoKick Bites; Victory Pretzels,Jalapeño,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Portugal,Definitivamente sí,Inglaterra,Cristiano Ronaldo,Humor,2x1,No,Edición Argentina
1419,2026-02-08,14:19:01,35 - 44 años,Femenino,Huehuetenango,Otro municipio,Comerciante,1 a 2 veces por semana,Supermercado,Otro,Q101 - Q150,FutbolMix; Mundialitos Queso Picante; Gol Nachos Supreme,Barbacoa,Para compartir entre 2 personas,Q16 - Q20,No,Sí,México,Tal vez,Estados Unidos,Cristiano Ronaldo,Un jugador famoso,Descuento directo,Sí,Edición con jugadores famosos
1420,2026-01-13,14:07:32,35 - 44 años,Masculino,Jutiapa,Jutiapa,Empleado público,Varias veces al mes,Gasolinera,Amigos,Más de Q150,Mundialitos Queso Picante; Gol Nachos Supreme,Picante Chapín,Tamaño fiesta o reunión,Más de Q30,No,Sí,Argentina,Definitivamente sí,México,Cristiano Ronaldo,Una selección nacional,Sorteo de viajes,No,Edición Brasil
1421,2026-03-15,15:51:07,55 años o más,Femenino,Guatemala, SAN MIGUEL PETAPA ,Empleado privado,1 a 2 veces por semana,Tienda de barrio,Amigos,Q51 - Q100,Gol Nachos Supreme; CrunchMax BBQ; Mundialitos Queso Picante,Salado Tradicional,Para compartir entre 2 personas,Q10 - Q15,No,Sí,Alemania,Tal vez,México,Vinícius Júnior; Cristiano Ronaldo; Kylian Mbappé,Premios y sorteos,2x1,Sí,Edición con tarjetas coleccionables
1422,2026-01-11,09:22:54,25 - 34 años,Masculino,Zacapa,Otro municipio,Empleado público,Varias veces al mes,Kiosco escolar/universitario,Amigos,Q25 - Q50,FutbolMix; Hot Stadium Peanuts,Caramelo,Familiar,Q10 - Q15,No,Sí,Brasil,Definitivamente sí,Noruega,Lionel Messi; Lamine Yamal; Cristiano Ronaldo,Un jugador famoso,Descuento directo,No,Edición Mundial FIFA 2026
